vaga,salario_estimado,descricao,nota,nome_empresa,localizacao,tamanho,ano_fundacao,tipo_propriedade,industria,setor,receita
Data Scientist,$80K - $149K (Glassdoor est.),"When you join Verizon
Verizon is a leading provider of technology, communications, information and entertainment products, transforming the way we connect across the globe. We’re a diverse network of people driven by our ambition and united in our shared purpose to shape a better future. Here, we have the ability to learn and grow at the speed of technology, and the space to create within every role. Together, we are moving the world forward – and you can too. Dream it. Build it. Do it here.
What you’ll be doing...
Be a part of the team that identifies opportunities for using data analysis to enhance the Verizon Internal Audit team’s role.
Add value and improve operations within Verizon’s Internal Audit department by providing data analytics, data mining, and continuous auditing strategies and solutions.",3.9,"Verizon
3.9","Ashburn, VA",10000+ Employees,2000,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD)
Data Scientist,$71K - $135K (Glassdoor est.),"Who Are We?
QinetiQ Inc. is a leading innovator with over 25 years of experience rapidly developing advanced C5ISR sensor solutions and is a renowned world leader in robotics and autonomy.
The combined QinetiQ U.S. business unit brings capabilities across the full lifecycle of technology development from applied research and development to rapid prototyping, testing, fielding, and sustainment. Our expertise with unmanned platforms, broad sensing modalities, and cross-domain interoperability ensures that we deliver integrated solutions for Warfighter dominance in all phases of combat.
We are a world-class team of professionals who deliver next generation technology and products in robotic and autonomous platforms and systems, ground systems, soldier systems, maritime systems, airborne sensors and payloads, processing and exploitation capabilities, and integrated C2 solutions. Much of our work contributes to innovative research in ﬁelds such as sensor science, signal processing, data fusion, artiﬁcial intelligence (AI), machine learning (ML), and augmented reality (AR).",3.8,"QinetiQ Inc.
3.8","Lorton, VA",1001 to 5000 Employees,2001,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD)
Data Scientist,$66K - $140K (Glassdoor est.),"Data Scientist
Boca Raton, FL, USA Req #282
Thursday, June 3, 2021
Since 1923, NCCI has been committed to fostering a healthy workers compensation system. We are the nation's trusted source for accurate, objective workers compensation information. Learn about how you can contribute to our company's success in the following position:
Data Scientist

NCCI has the largest collection of Workers Compensation insurance data in the US and through our data assets we deliver value to our industry stakeholders. In recent years, NCCI has been investing in its analytic capabilities to supplement our actuarial expertise. NCCI is looking to hire a data scientist or senior data scientist who will help internal teams think outside-the-box to innovate new solutions to business problems using modern data-driven techniques.",4.7,"NCCI
4.7","Boca Raton, FL",501 to 1000 Employees,1923,Company - Private,Insurance Carriers,Insurance,$50 to $100 million (USD)
Research Scientist,$68K - $135K (Glassdoor est.),"Company Description

Avery Dennison (NYSE: AVY) is a global materials science company specializing in the design and manufacture of a wide variety of labeling and functional materials. The company’s products, which are used in nearly every major industry, include pressure-sensitive materials for labels and graphic applications; tapes and other bonding solutions for industrial, medical, and retail applications; tags, labels and embellishments for apparel; and radio frequency identification (RFID) solutions serving retail apparel and other markets. Headquartered in Glendale, California, the company employs more than 30,000 employees in more than 50 countries. Reported sales in 2020 were $7.0 billion. Learn more at www.averydennison.com.

Job Description

Avery Dennison is seeking a dynamic individual to join the global Polymers, Adhesive and Coatings Center of Excellence (PACE) in Avery Dennison Label and Graphic Materials. The Research Principal will identify, develop and deploy new technology platforms to advance Avery Dennison’s innovation strategies and provide critical expertise in pressure sensitive adhesive chemistry and applications. The successful candidate will help translate business strategy to technical needs, engage internally and externally to identify and assess new ideas, and develop fundamental understanding necessary to bring new chemistry from idea to commercial success.",3.9,"Avery Dennison
3.9","Mill Hall, PA",10000+ Employees,1935,Company - Public,Miscellaneous Manufacturing,Manufacturing,$5 to $10 billion (USD)
Data Scientist II,$80K - $128K (Glassdoor est.),"This career opportunity is in our Minneapolis office. This individual contributor position will be a member of a high-performing technology team that leads the firm in data services and data science by produce innovative solutions driven by exploratory data analysis from complex and high-dimensional datasets. Specifically, this position will be utilizing analytics, statistics and mathematics, data science and machine learning, programming, data modeling and simulation to identify opportunities, pose business questions and make valuable discoveries that give our business and our products a competitive advantage. It includes understanding and handling the data, how it interconnects and architecting data for self-serve BI and BA opportunities. This position is for a person that is both business savvy and has experience in data analytics / data science that enjoys framing a problem, shaping and creating solutions and helping to champion implementation.

PRIMARY DUTIES AND RESPONSIBILITIES",4.0,"SullivanCotter
4.0","Minneapolis, MN",201 to 500 Employees,1992,Company - Private,Consulting,Business Services,Unknown / Non-Applicable
Quantitative Researcher / Trader – High Frequency Futures,$77K - $155K (Glassdoor est.),"We are looking for highly skilled and experienced individuals to join a research effort focused on generating high frequency trading alphas in the futures markets. The ideal candidate has direct experience in the alpha research process and understands the workflow from idea generation to production implementation. This opportunity will provide the right candidate the chance to have a large impact on the direction and productivity of a nascent effort within a successful proprietary trading firm.
Responsibilities
Conduct data analysis on large datasets to generate profitable trading alphas.
Define key metrics for model validation.
Back testing and production performance monitoring.
Contribute to in-house data analysis packages and research framework development.",4.2,"Wolverine Trading
4.2","Chicago, IL",201 to 500 Employees,1994,Company - Private,Investment Banking & Asset Management,Finance,$10 to $25 million (USD)
Data Engineer,$70K - $130K (Glassdoor est.),"Basic Qualifications :
Bachelor's degree in Engineering, Computer Science, Statistics, Applied Math is required plus a minimum of 2 years relevant experience or Master’s degree in a related technical discipline

CLEARANCE REQUIREMENTS:
A TS/SCI security clearance with the ability to obtain a Polygraph is required at time of hire. Candidates must be able to obtain the Polygraph within a reasonable amount of time from date of hire. Applicants selected will be subject to a U.S. Government security investigation and must meet eligibility requirements for access to classified information. Due to the nature of work performed within our facilities, U.S. citizenship is required.
Responsibilities for this Position:
Developing mission-critical systems that help keep people safe is what we do. At General Dynamics Mission Systems, you’ll be part of the team that helps heroes make a true impact. The work we do is important. The challenges we face are career-defining. The opportunity we can offer is one-of-a-kind.

We apply advanced technologies such as Artificial Intelligence, Blockchain, AR/VR, Cloud Native and Quantum Physics to solve our customers’ missions in cyber, RF, undersea, interstellar space and everything in between.

As a Data Engineer, you’ll lead model and simulation activities as you participate in requirements analysis and management, functional analysis, performance analysis, system design, trade studies, systems integration and test (verification). It’s your chance to step up to the challenge and prove you’re ready to lead the world.



Company Overview:",3.9,"General Dynamics Mission Systems, Inc
3.9","Chantilly, VA",10000+ Employees,1952,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD)
Sr. Data Scientist,$60K - $130K (Glassdoor est.),"About Karus:
Karus is a credit intelligence platform that powers real-time decisions. Using data aggregation and mining, signal processing, and machine learning, The Karus Platform delivers cash flow inputs to investors, lenders, and originators.
Position Summary (Data scientist):
As a data scientist for Karus, you will be entrusted with significant responsibility. The primary function of this role will be to support our data science and machine learning workstreams. We are looking for a candidate who will grow into a leadership role with us.
Responsibilities:",-1.0,"Karus, Inc.","Boise, ID",-1,-1,-1,-1,-1,-1
Senior Data Scientist,$70K - $141K (Glassdoor est.),"Soaren Management provides customer-centric alternative lending solutions in consumer markets via proprietary underwriting and loan management systems. With multiple verticals in the financial services industry, Soaren excels in customized portfolio management, software development, customer service telecommunications, automated application processing, and asset recovery.
Basically, we extend short-term loans to people who most likely wouldn’t be able to access financing through traditional lenders. To be able to underwrite and manage all these loans, we’ve built some pretty slick proprietary software platforms, and we want to build more. That’s where you come in.
Soaren Management is adding a Senior Data Scientist to our team. As a Fintech start-up that is stable, profitable, and rapidly growing. We offer great compensation, benefits, environment, and performance-based rewards to attract the best Scientists we can find. We are currently looking for an experienced Senior Data Scientist with deep technical and statistical knowledge and a proven track record to drive business value using advanced data analysis and machine learning techniques. This position will collaborate with executives and other business departments to execute a variety of analytical projects to improve processes and create efficiencies.",4.4,"Soaren Management
4.4","Scottsdale, AZ",51 to 200 Employees,2015,Company - Private,Lending,Finance,Unknown / Non-Applicable
Data Scientist III,$91K - $145K (Glassdoor est.),"This career opportunity is in our Minneapolis office. This individual contributor position will be a member of a high-performing technology team that leads the firm in data services and data science by producing innovative solutions driven by exploratory data analysis from complex- and high-dimensional datasets. Specifically, this position will be utilizing advanced analytics, statistics and advanced mathematics, data science and machine learning, programming, data modeling and simulation to identify opportunities, pose business questions and make valuable discoveries that give our business and our products a competitive advantage. It includes understanding and managing the data, how it interconnects and architecting data for self-serve BI and BA opportunities. This position is for a candidate that is both business savvy and an expert in data analytics / data science who enjoys framing a problem, shaping and creating solutions, and helping to champion implementation.

PRIMARY DUTIES AND RESPONSIBILITIES",4.0,"SullivanCotter
4.0","Minneapolis, MN",201 to 500 Employees,1992,Company - Private,Consulting,Business Services,Unknown / Non-Applicable
Staff Data Scientist,$79K - $146K (Glassdoor est.),"Company Description

Vericast is a premier marketing solutions company that accelerates profitable revenue growth for the 70,000 businesses it serves directly by influencing consumer purchasing and transaction behavior at scale while engaging with over 120 million households daily. Its major business units, Valassis, Harland Clarke, Save.com, and QuickPivot are recognized as leading providers of incentives, advertising, marketing services, transaction solutions, customer data and cross-channel campaign management, and intelligent media delivery that create millions of customer touch points annually for their clients. For more information, visit http://www.vericast.com or follow Vericast on LinkedIn.

Job Description",3.7,"Vericast
3.7","Morrisville, NC",10000+ Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Senior Scientist,$72K - $173K (Glassdoor est.),"Seeking a highly motivated individual for employment in our Research and Development group located in Petaluma, CA. This position requires an individual with strong problem solving skills, good laboratory technique, and the ability to design and execute complex experiments. The successful candidate will have the ability to innovate and implement changes in procedure and processes to achieve improved results, while maintaining attention to detail and complete documentation of experiments performed. This position will entail synthetic chemistry, running of automated oligonucleotide synthesizers, and analysis of oligonucleotides.

Areas of Responsibility:
This position requires a talented and self-managing individual to work closely with members of the research and development group to assist in the preparation of novel oligonucleotides on non-standard solid supports and/or linkers to enable new approaches to biology. This is a hands-on research position.",3.6,"LGC Limited
3.6","Petaluma, CA",1001 to 5000 Employees,1842,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Data Engineer,$59K - $123K (Glassdoor est.),"Database Developer
Job Summary
The Data Engineer will collaborate with business owners, users, consultants and technicians to assist in the implementation of a comprehensive data strategy for Embrace. It will be the primary responsibility of this role to execute on tasks along the roadmap and to ensure proposed solutions align to the roadmap, principles, and policies. In addition, the Data Engineer will identify potential new areas for focus and create additional definition and clarity around existing areas that are not fully defined or understood.
Responsibilities & Activities
The role will be responsible for functions including:",4.1,"Embrace Home Loans
4.1","Middletown, RI",501 to 1000 Employees,1983,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD)
Data Scientist 2 - Finance and Records,$64K - $125K (Glassdoor est.),"Posting Dates: 06/21/2021 - 07/05/2021
Job Family: Research
Department: Finance and Records Department
PURPOSES
Through the identification and assessment of critical business data elements, provide foundational algorithms, equations, and components for data analysis and reporting.
RESPONSIBILITIES
The Data Scientist will work with both structured and unstructured data from multiple sources and will provide strategic data models using machine learning algorithms to deepen insights and address business problems. This person will be highly analytical with the ability to communicate, interpret and visualize the outcomes for the Department Management.
Understand the Data
Organize the Data
Configuring Data for Accessing
Reporting
Security & User Acceptance
Outcomes/Insights
Non-Responsibilities
Describe the major non-responsibilities of this role. What is this role not responsible for and should not do?",4.4,"The Church of Jesus Christ of Latter-day Saints
4.4","Salt Lake City, UT",10000+ Employees,-1,Nonprofit Organization,Religious Organizations,Non-Profit,Unknown / Non-Applicable
