vaga,salario_estimado,descricao,nota,nome_empresa,localizacao,tamanho,ano_fundacao,tipo_propriedade,industria,setor,receita
Data Scientist (Manager),$56K - $111K (Glassdoor est.),"**** There is no relocation assistance offered for this role ****
As a team, we are committed to building relationships with the people who care for our patients. Our employees are our number one client and we lead as a faith-based company from the heart.
We are committed to develop teams who can truly make a difference for our patients and employees.
GENERAL PURPOSE: The Data Scientist (Manager) will support the growing needs around data-driven decision making in the organization and own process of deriving key insights from advanced analytics to achieve short- and long-term financial targets. The data scientist will involve data exchange process analysis, design, development, unit testing, and support. This role would be responsible for building out a team of analysts, engineers, and scientists to predict, develop processing and identify other reporting needs. This position requires strong technical and analytical skills to review business processes and data, recommend solutions, conduct functional and code analyses, and lead and perform database development tasks. This position will also involve production support and require experience within a DevOps environment.",3.1,"Pathways
3.1","Richardson, TX",5001 to 10000 Employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Lead / Senior Data Scientist,$67K - $134K (Glassdoor est.),"About Dealerware:
Dealerware is modern fleet management for the modern retailer. We are proud to be one of the hottest software companies in the automotive sector. By combining a modern-approach with fresh design thinking, Dealerware’s industry-leading SaaS platform enables best-in-class fleet management and mobility for top automotive dealerships and manufacturers. Three years ago, we burst onto the scene with a promise to reduce costs and elevate the customer experience at automotive dealerships.

Dealerware currently manages fleets for 28 automotive brands and 10 of the top 10 dealer groups in the country. With a recent expansion into international markets, our growth trajectory continues to be within the top 1% of SaaS businesses. Across the automotive ecosystem, there’s hundreds of billions of dollars at stake. And we’re right in the swell of it.

Dealerware is looking for a Lead/Senior Data Scientist to apply their leadership and experience in data science development to manage and grow a small team of data scientists to innovate in the fleet management and connected car space. They will need a deep understanding of statistics analytics, machine learning, and programming to discover hidden opportunities, trends, and patterns. Working cross-functionally with our team they will understand the data science and analytics and business requirements that will help our product unlock data insights for our customers. We are looking for a strong self-starter who will work closely with product management, engineering, design, and research to co-create and drive a culture of curiosity and experimentation.",4.0,"Dealerware
4.0","Austin, TX",51 to 200 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
BI/Data Analyst,$42K - $87K (Glassdoor est.),"The BI / Data Analyst will work with the Clinical Operations and Software Development teams, in addition to external NaphCare Customers, to develop and delive r professional quality reports, data extracts, and analytical dashboards . The Analyst must successfully develop, maintain and produce accurate information extracted from NaphCare’s healthcare software systems. This role must be technically sound and have a proven history of data analysis experience in the healthcare industry. Most importantly, the successful candidate will demonstrate initiative, the ability to work independently and manage tasks with minimal supervision.
Position Expectations:
Work with internal and external customers to develop reporting procedures, understand their reporting needs, present various reporting options and guide the customer to the solution that best meets their needs.",3.2,"NaphCare, Inc.
3.2","Birmingham, AL",501 to 1000 Employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD)
Research Scientist I - Essentia,$68K - $147K (Glassdoor est.),"New product development of broths, stocks, flavors, animal fats and functional collagen products; lead and conduct pilot plant and production plant trials; support operations with technical expertise to improve quality / reduce cost of existing products; collaborate and provide technical support to internal cross functional groups and external customers; propose and identify new technological opportunities.
JOB QUALIFICATIONS:
Education and Experience:
Bachelor of Science degree plus a minimum of 4 years of experience",3.1,"The Lauridsen Group
3.1","Ankeny, IA",501 to 1000 Employees,1969,Company - Public,Miscellaneous Manufacturing,Manufacturing,Unknown / Non-Applicable
CLINICAL LABORATORY SCIENTIST,$52K - $95K (Glassdoor est.),"White Plains Hospital Job Description
Title: Clinical Laboratory Scientist Job Code: 500285
Department/Location: Department of Laboratories FLSA Status: NE
Reports to: Section Laboratory Supervisor
Position Summary
The Clinical Laboratory Scientist performs laboratory testing using both manual and automated techniques. Performs

Location: White Plains Hospital · Lab Microbiology
Schedule: Part Time, Evening, three evenings/week/ alternating holidays",3.9,"White Plains Hospital
3.9","White Plains, NY",1001 to 5000 Employees,1893,Hospital,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
Data Engineer,$58K - $118K (Glassdoor est.),"Covenant Physician Partners is hiring a Data Engineer to join our Business Intelligence Team. This position may offer remote flexibility after an initial onboarding period at our Corporate Office in downtown Nashville, TN.
SUMMARY
Works directly with multiple corporate departments to create and run custom SQL queries and analyze the data. Leads projects, documents application requests, and test system changes to assist the company in meeting its corporate mission. Enjoys learning new things and solving problems in a fast-paced healthcare environment.
ESSENTIAL DUTIES AND RESPONSIBILITIES
Research, design, implement, and support data pipelines\ETL using a variety of tools.",4.0,"Covenant Physician Partners
4.0","Nashville, TN",1001 to 5000 Employees,2008,Company - Private,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
Principal Scientist,$81K - $163K (Glassdoor est.),"Company Description
Personalized immunotherapies are the future of the fight against cancer, and IsoPlexis (www.isoplexis.com) is Making the Difference in enabling the lofty goal of employing immunotherapies to combat our toughest diseases. Our integrated systems, named #1 Innovation by Scientist Magazine & World-Leading Design by Red Dot, are changing cancer research by connecting biological readouts to what is actually happening in patients. Our game changing hardware technologies, originally from Cal Tech and Yale, combined with our next generation software and data visualizations, are powered by our amazing R&D team and used throughout the world. We work with a growing list of leading researchers who are publishing findings that connect our readouts to what is truly happening in patients, and that excites & drives all of us to do more! If you like working at the intersection of biological sciences and healthcare, and you enjoy intellectually challenging yet fulfilling projects, give us a call. Our fast growing, 125+ person team has a sense of integrity, energy, and urgency to ‘make things happen’ in our collective careers and in the broader world, and we look forward to talking.",3.6,"IsoPlexis
3.6","Branford, CT",1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD)
Senior Environmental Scientist/Chemist,$47K - $93K (Glassdoor est.),"Join a great team of scientists at Katahdin Analytical Services, Maine’s premier environmental testing laboratory. We’re looking for an experienced chemist/environmental scientist to help advance our company’s technical expertise as we introduce new capabilities. Katahdin Analytical Services is a full-service environmental laboratory dedicated to solving problems for our clients and consistently meeting the highest quality standards for our practices. Here at Katahdin, we strive to develop our skills and knowledge base every day on the job.
The Opportunity:
The ideal candidate will contribute to excellence in our organization by:
· Providing technical guidance toward effective, science-based solutions to challenges that arise.
· Assisting and guiding process and efficiency improvements.",2.7,"Katahdin Analytical Services
2.7","Scarborough, ME",1 to 50 Employees,-1,Company - Private,-1,-1,$5 to $10 million (USD)
Associate Scientist II- Data Review,$55K - $104K (Glassdoor est.),"Associate Scientist II- Data Review Description
65k-90k
The Associate Scientist II requires an analytical chemistry background and experience with Good Manufacturing practices (cGMP). The Associate Scientist II candidate must also obtain Quality Control Laboratory testing in order to be considered for this position.
Full time analytical data review position
Comprehensive review of Quality Control Laboratory testing results including HPLC and GD-FID analytical results.
Verify documented procedures for compliance against internal standard operating procedures(SOPs) and USP monographs.",2.8,"Denison Pharmaceuticals
2.8","Lincoln, RI",51 to 200 Employees,-1,Company - Private,Health Care Products Manufacturing,Manufacturing,$50 to $100 million (USD)
People Analytics - Data Analyst,$57K - $107K (Glassdoor est.),"Love + medicine is who we are, it's what we do, it's why people want to work here. If you’re looking for a job to love, apply today.
Schedule Weekly Hours:
40
Data Analyst

Seeking an experienced Data Analyst for our People Analytics Department!",3.8,"Gundersen - La Crosse Main Campus
3.8","La Crosse, WI",5001 to 10000 Employees,1891,Hospital,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
