vaga_simplificada,senioridade,nome_empresa,tamanho,tipo_propriedade,industria,setor,receita,cidade,estado,idade_empresa,nota,fg_glassdor_est,fg_por_hora,descricao_qtd_palavras,estatistica,programacao,etl,saas,ferramentas_bi,ml_ai,salario_medio
Manager,Executive,Pathways,5001 to 10000 Employees,Company - Private,Health Care Services & Hospitals,Health Care,Unknown,Richardson,TX,37.0,3.1,1,0,178,0,0,0,0,0,0,83500.0
Data Scientist,Senior,Dealerware,51 to 200 Employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,Austin,TX,5.0,4.0,1,0,244,1,0,0,0,0,1,100500.0
Data Analyist,Unknown,"NaphCare, Inc.",501 to 1000 Employees,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),Birmingham,AL,37.0,3.2,1,0,121,0,1,0,0,0,0,64500.0
Data Scientist,Junior,The Lauridsen Group,501 to 1000 Employees,Company - Public,Miscellaneous Manufacturing,Manufacturing,Unknown,Ankeny,IA,52.0,3.1,1,0,72,0,0,0,0,0,0,107500.0
Data Scientist,Unknown,White Plains Hospital,1001 to 5000 Employees,Hospital,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),White Plains,NY,128.0,3.9,1,0,55,0,0,0,0,0,0,73500.0
Data Engineer,Unknown,Covenant Physician Partners,1001 to 5000 Employees,Company - Private,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),Nashville,TN,13.0,4.0,1,0,97,0,0,1,0,0,0,88000.0
Data Scientist,Senior,IsoPlexis,1 to 50 Employees,Company - Private,Unknown,Unknown,Less than $1 million (USD),Branford,CT,37.0,3.6,1,0,186,0,0,0,0,0,0,122000.0
Data Scientist,Senior,Katahdin Analytical Services,1 to 50 Employees,Company - Private,Unknown,Unknown,$5 to $10 million (USD),Scarborough,ME,37.0,2.7,1,0,109,0,0,0,0,1,0,70000.0
Data Scientist,Senior,Denison Pharmaceuticals,51 to 200 Employees,Company - Private,Health Care Products Manufacturing,Manufacturing,$50 to $100 million (USD),Lincoln,RI,37.0,2.8,1,0,76,0,0,0,0,0,0,79500.0
Data Analyist,Unknown,Gundersen - La Crosse Main Campus,5001 to 10000 Employees,Hospital,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),La Crosse,WI,130.0,3.8,1,0,44,0,0,0,0,0,0,82000.0
Data Analyist,Unknown,Progress Rail Services Corp.,5001 to 10000 Employees,Subsidiary or Business Segment,Rail,Transportation & Logistics,$2 to $5 billion (USD),La Grange,IL,38.0,3.5,1,0,193,0,0,0,0,0,0,82500.0
Data Scientist,Unknown,Charles Schwab,10000+ Employees,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),Austin,TX,48.0,3.9,0,0,85,0,0,0,0,0,1,133000.0
Data Scientist,Unknown,US Internal Revenue Service,10000+ Employees,Government,Federal Agencies,Government,Unknown,Charlotte Amalie,VI,159.0,3.7,0,0,33,0,0,0,0,0,0,141000.0
Data Scientist,Unknown,veritis group inc,Unknown,Unknown,Unknown,Unknown,Unknown,Irving,TX,37.0,4.0,0,1,86,1,0,0,0,0,1,122000.0
Data Scientist,Unknown,Eden Technologies,51 to 200 Employees,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),Remote,Na,37.0,3.4,0,1,95,1,0,0,0,0,0,155200.0
Data Scientist,Junior,KesarWeb,Unknown,Unknown,Unknown,Unknown,Unknown,Point a la Hache,LA,37.0,4.0,0,0,57,0,0,0,0,0,0,81500.0
Data Scientist,Unknown,World Services LLC,51 to 200 Employees,Company - Private,Unknown,Unknown,Unknown,Remote,Na,37.0,4.7,0,1,212,0,1,1,1,0,0,165300.0
Data Scientist,Unknown,Home Lending Pal,Unknown,Unknown,Unknown,Unknown,Unknown,Remote,Na,37.0,4.0,0,0,133,0,0,0,0,0,1,130000.0
Data Scientist,Unknown,UC San Diego,10000+ Employees,College / University,Colleges & Universities,Education,Unknown,San Diego,CA,61.0,4.3,0,0,32,0,0,0,0,0,0,86500.0
Data Scientist,Unknown,"Information Unlimited, Inc.",Unknown,Unknown,Unknown,Unknown,Unknown,Washington,DC,37.0,4.0,0,0,118,0,1,1,0,1,0,117500.0
Data Scientist,Unknown,"Custom Software Systems, Inc.",1 to 50 Employees,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),Washington,DC,31.0,4.5,0,0,104,0,0,0,0,0,0,95000.0
Data Scientist,Unknown,Clark County Education Association,Unknown,Unknown,Unknown,Unknown,Unknown,Las Vegas,NV,37.0,4.0,0,1,143,1,0,0,0,0,0,38300.0
Data Scientist,Unknown,Indeed,10000+ Employees,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),San Francisco,CA,17.0,4.3,0,0,196,0,0,0,0,0,1,183000.0
Data Scientist,Unknown,Liberty Mutual Insurance,10000+ Employees,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),Remote,Na,109.0,3.8,0,0,184,0,0,0,0,0,0,112000.0
Data Scientist,Unknown,AR systems inc,Unknown,Unknown,Unknown,Unknown,Unknown,West Warwick,RI,37.0,4.0,0,0,197,0,0,0,0,0,0,110000.0
Data Scientist,Unknown,UVA Medical Center,5001 to 10000 Employees,Hospital,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),Greenfields,VA,196.0,3.4,0,0,244,1,0,0,0,0,0,105500.0
Data Scientist,Junior,Eagle Rock Analytics,Unknown,Unknown,Unknown,Unknown,Unknown,Remote,Na,37.0,4.0,0,0,149,0,0,0,0,0,0,60000.0
Data Scientist,Unknown,Ibotta,501 to 1000 Employees,Company - Private,Internet,Information Technology,Unknown,Denver,CO,9.0,3.8,0,0,825,1,1,1,0,1,1,105000.0
Data Scientist,Unknown,Indeed,10000+ Employees,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),Seattle,WA,17.0,4.3,0,0,196,0,0,0,0,0,1,183000.0
Data Scientist,Unknown,Sound,501 to 1000 Employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),Tukwila,WA,55.0,3.2,0,0,125,1,0,0,0,1,1,183000.0
Data Scientist,Unknown,Facebook,10000+ Employees,Company - Public,Internet,Information Technology,$10+ billion (USD),Burlingame,CA,17.0,4.3,0,0,270,0,0,0,0,0,0,183000.0
Data Scientist,Unknown,Tech True Up,Unknown,Unknown,Unknown,Unknown,Unknown,Remote,Na,37.0,4.0,0,1,50,0,0,0,0,0,0,106800.0
Data Scientist,Unknown,Prudent Technology,1 to 50 Employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),Remote,Na,37.0,5.0,0,0,175,0,0,0,1,0,0,132500.0
Data Scientist,Unknown,veritis group inc,Unknown,Unknown,Unknown,Unknown,Unknown,Irving,TX,37.0,4.0,0,1,91,1,0,0,0,0,1,122000.0
Data Scientist,Unknown,"Search Leaders, LLC",1 to 50 Employees,Company - Private,Staffing & Outsourcing,Business Services,Unknown,Minneapolis,MN,23.0,3.6,0,0,138,0,0,0,0,0,0,155000.0
Data Scientist,Unknown,SKAEL,51 to 200 Employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,San Francisco,CA,4.0,5.0,0,0,155,0,0,0,0,0,1,130000.0
Data Scientist,Unknown,Facebook,10000+ Employees,Company - Public,Internet,Information Technology,$10+ billion (USD),Burlingame,CA,17.0,4.3,0,0,270,0,0,0,0,0,0,130000.0
Data Scientist,Junior,"Croptix, LLC",Unknown,Unknown,Unknown,Unknown,Unknown,State College,PA,37.0,4.0,0,0,221,0,0,0,0,0,1,130000.0
Data Scientist,Senior,omega solutions inc,1 to 50 Employees,Self-employed,IT Services,Information Technology,Unknown,Santa Ana,CA,37.0,2.8,0,0,95,0,0,0,0,0,0,130000.0
Data Engineer,Unknown,"Certec Consulting, inc",Unknown,Unknown,Unknown,Unknown,Unknown,Remote,Na,37.0,4.0,0,0,50,0,1,0,0,0,1,130000.0
Data Analyist,Unknown,Unsupervised,1 to 50 Employees,Unknown,Unknown,Unknown,Unknown,Colorado,CO,37.0,4.0,0,0,505,0,0,0,0,1,1,130000.0
Data Scientist,Unknown,Stanford Health Care,10000+ Employees,Hospital,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),Palo Alto,CA,64.0,3.9,0,0,143,0,0,0,0,0,0,130000.0
Data Engineer,Unknown,IBM,10000+ Employees,Company - Public,IT Services,Information Technology,$10+ billion (USD),Yorktown Heights,NY,110.0,3.9,0,0,774,0,0,0,0,0,1,130000.0
Data Engineer,Junior,Google,10000+ Employees,Company - Public,Internet,Information Technology,$10+ billion (USD),Goleta,CA,23.0,4.5,0,0,135,0,0,0,0,0,0,130000.0
Data Scientist,Unknown,Interview Query,Unknown,Unknown,Unknown,Unknown,Unknown,Remote,Na,37.0,4.0,0,0,151,0,0,0,0,0,1,130000.0
Data Scientist,Junior,PayPal,10000+ Employees,Company - Public,Internet,Information Technology,$10+ billion (USD),San Jose,CA,23.0,4.1,0,0,391,0,0,0,0,0,0,130000.0
Data Scientist,Unknown,"Sunfish, Inc.",Unknown,Unknown,Unknown,Unknown,Unknown,Remote,Na,37.0,4.0,0,0,121,0,0,0,0,0,1,130000.0
Data Engineer,Unknown,Cisco Systems,10000+ Employees,Company - Private,Computer Hardware & Software,Information Technology,$10+ billion (USD),San Jose,CA,37.0,4.3,0,0,702,1,1,1,0,1,1,130000.0
Data Scientist,Unknown,Sun Oak,1 to 50 Employees,Company - Private,Consulting,Business Services,Unknown,Miami,FL,3.0,4.0,0,0,211,1,0,0,0,0,0,130000.0
Data Engineer,Unknown,Agile N2N Inc,Unknown,Unknown,Unknown,Unknown,Unknown,Remote,Na,37.0,4.0,0,0,68,1,0,0,0,0,1,130000.0
Unknown,Unknown,Insulet Corporation,1001 to 5000 Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$500 million to $1 billion (USD),Acton,MA,21.0,3.3,0,0,108,0,0,0,0,1,0,130000.0
Data Scientist,Unknown,TWO NIL,1 to 50 Employees,Company - Private,Advertising & Marketing,Business Services,Unknown,California,CA,2.0,2.9,0,0,517,1,1,1,0,1,1,130000.0
Data Scientist,Unknown,Facebook,10000+ Employees,Company - Public,Internet,Information Technology,$10+ billion (USD),Menlo Park,CA,17.0,4.3,0,0,220,1,0,0,0,1,0,130000.0
Data Scientist,Unknown,Arundo Analytics,51 to 200 Employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,Houston,TX,6.0,4.0,0,0,908,1,1,0,0,0,1,130000.0
Data Scientist,Junior,CALSTART,51 to 200 Employees,Nonprofit Organization,Social Assistance,Non-Profit,$25 to $50 million (USD),Pasadena,CA,37.0,4.0,0,0,149,0,0,0,0,0,0,130000.0
Data Scientist,Unknown,SparkCognition,51 to 200 Employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,Austin,TX,8.0,4.3,0,0,137,0,0,1,0,0,1,130000.0
Data Scientist,Unknown,McKinsey & Company,10000+ Employees,Company - Private,Consulting,Business Services,Unknown,East Boston,MA,95.0,4.4,0,0,74,1,1,1,0,0,1,130000.0
Data Scientist,Unknown,"CoEnterprise, LLC",51 to 200 Employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),New York,NY,11.0,3.6,0,0,156,0,0,0,0,1,0,130000.0
Data Scientist,Unknown,Abbvie,10000+ Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Crystal Lake,IL,8.0,3.9,0,0,240,0,0,0,0,0,1,130000.0
Data Scientist,Unknown,Tekcogno,1 to 50 Employees,Unknown,Unknown,Unknown,Unknown,Austin,TX,37.0,4.5,0,0,85,0,1,0,0,0,0,130000.0
Data Scientist,Junior,Barchart,51 to 200 Employees,Company - Private,Financial Analytics & Research,Finance,Unknown,Chicago,IL,37.0,4.7,0,0,68,0,1,0,0,0,0,130000.0
Data Scientist,Senior,Talentica Software,Unknown,Unknown,Unknown,Unknown,Unknown,Malvern,PA,37.0,4.0,0,0,92,1,0,1,1,0,1,130000.0
Data Scientist,Senior,"Innovent Biologics(Suzhou)Co.,Ltd.",Unknown,Unknown,Unknown,Unknown,Unknown,Rockville,MD,37.0,4.0,0,0,80,0,0,0,0,0,0,130000.0
Data Scientist,Unknown,Amica Insurance Company,1001 to 5000 Employees,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),Lincoln,RI,114.0,4.0,0,0,60,1,0,0,0,0,0,130000.0
Data Scientist,Unknown,LineSlip Solutions,Unknown,Unknown,Unknown,Unknown,Unknown,Remote,Na,37.0,4.0,0,0,104,0,0,0,0,0,0,130000.0
Data Scientist,Junior,PayPal,10000+ Employees,Company - Public,Internet,Information Technology,$10+ billion (USD),San Jose,CA,23.0,4.1,0,0,391,0,0,0,0,0,0,183000.0
Data Scientist,Senior,Spectrum,10000+ Employees,Subsidiary or Business Segment,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (USD),Greenwood Village,CO,5.0,3.2,0,0,152,1,0,0,0,0,1,183000.0
Data Scientist,Unknown,Siemens,10000+ Employees,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$10+ billion (USD),Tarrytown,NY,178.0,4.1,0,0,161,1,0,0,0,0,1,183000.0
Data Scientist,Unknown,Intelligent Automation,51 to 200 Employees,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$25 to $50 million (USD),Rockville,MD,34.0,3.8,1,0,125,0,0,0,0,0,1,103500.0
Data Scientist,Unknown,U.S. Customs and Border Protection,10000+ Employees,Government,Federal Agencies,Government,Unknown,Sterling,VA,94.0,4.0,1,0,62,0,0,0,0,0,0,85000.0
Data Scientist,Unknown,DEPARTMENT OF SANITATION,5001 to 10000 Employees,Government,Municipal Governments,Government,Unknown,New York,NY,37.0,3.9,1,0,45,0,0,0,0,0,0,88500.0
Data Analyist,Senior,Southworth Products Corp.,Unknown,Unknown,Unknown,Unknown,Unknown,Falmouth,ME,37.0,4.0,1,0,133,0,0,0,0,0,0,64000.0
Data Scientist,Senior,"SECANT GROUP, LLC",51 to 200 Employees,Company - Public,Health Care Products Manufacturing,Manufacturing,Unknown,Telford,PA,37.0,2.7,1,0,125,0,0,0,0,0,0,79000.0
Data Analyist,Unknown,Uline,5001 to 10000 Employees,Company - Private,Industrial Manufacturing,Manufacturing,$5 to $10 billion (USD),Pleasant Prairie,WI,41.0,3.6,0,0,81,0,0,0,0,1,0,72000.0
Data Analyist,Unknown,Uline,Unknown,Unknown,Unknown,Unknown,Unknown,Pleasant Prairie,WI,37.0,3.6,0,0,81,0,0,0,0,1,0,72000.0
Data Scientist,Unknown,Deaconess Health System,5001 to 10000 Employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),Princeton,IN,39.0,3.8,1,0,59,0,0,0,0,0,0,33000.0
Data Scientist,Mid,AMPAC Fine Chemicals,501 to 1000 Employees,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),Rancho Cordova,CA,16.0,3.0,1,0,89,0,0,0,0,0,0,82000.0
Data Scientist,Unknown,AGC Biologics,1001 to 5000 Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,Bothell,WA,37.0,3.7,1,0,154,0,0,0,0,0,0,82500.0
Data Scientist,Unknown,Brigham and Women's Hospital (BWH),Unknown,Unknown,Unknown,Unknown,Unknown,Boston,MA,37.0,4.0,1,0,144,0,1,0,0,0,0,78500.0
Data Analyist,Unknown,Penn State Health Milton S. Hershey Medical Center,5001 to 10000 Employees,Hospital,Health Care Services & Hospitals,Health Care,Unknown,Hershey,PA,37.0,3.9,1,0,89,0,0,0,0,0,0,56000.0
Data Scientist,Unknown,"BioCheck, Inc.",Unknown,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$5 to $10 million (USD),South San Francisco,CA,37.0,1.0,1,0,77,0,0,0,0,0,0,95500.0
Data Scientist,Senior,"Secant Group, LLC",51 to 200 Employees,Company - Public,Health Care Products Manufacturing,Manufacturing,Unknown,Telford,PA,37.0,2.7,1,0,130,0,0,0,0,0,0,79000.0
Data Scientist,Senior,Translational Drug Development (TD2),Unknown,Unknown,Unknown,Unknown,Unknown,Scottsdale,AZ,37.0,4.0,1,0,80,0,0,0,0,0,0,117000.0
Data Scientist,Unknown,United Therapeutics,501 to 1000 Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),Research Triangle Park,NC,25.0,4.4,1,0,105,0,0,0,0,0,0,73000.0
Data Scientist,Unknown,United Therapeutics,Unknown,Unknown,Unknown,Unknown,Unknown,Research Triangle Park,NC,37.0,4.4,1,0,105,0,0,0,0,0,0,73000.0
Data Scientist,Senior,"SECANT GROUP, LLC",51 to 200 Employees,Company - Public,Health Care Products Manufacturing,Manufacturing,Unknown,Telford,PA,37.0,2.7,1,0,130,0,0,0,0,0,0,79000.0
Data Scientist,Senior,Metalenz,Unknown,Unknown,Unknown,Unknown,Unknown,Boston,MA,37.0,4.0,1,0,117,0,0,0,0,0,0,139500.0
Data Scientist,Unknown,"Catalog Technologies, Inc.",Unknown,Unknown,Unknown,Unknown,Unknown,Boston,MA,37.0,4.0,1,0,110,0,0,0,0,0,0,69000.0
Data Scientist,Unknown,PPD,10000+ Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),Middleton,WI,36.0,4.0,1,0,96,0,0,0,0,0,0,64500.0
Data Engineer,Unknown,NT Concepts,51 to 200 Employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),Herndon,VA,23.0,3.8,1,0,159,1,0,0,0,0,1,104000.0
Data Scientist,Unknown,Ambagon Therapeutics,Unknown,Unknown,Unknown,Unknown,Unknown,San Carlos,CA,37.0,4.0,1,0,140,0,0,0,0,0,0,134500.0
Data Scientist,Senior,Macy’s,10000+ Employees,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),New York,NY,163.0,3.4,1,0,123,0,0,1,0,0,0,140000.0
Data Scientist,Senior,Brighthouse Financial,1001 to 5000 Employees,Company - Public,Insurance Carriers,Insurance,Unknown,Charlotte,NC,4.0,4.3,1,0,184,0,0,0,0,0,0,140000.0
Data Scientist,Senior,UC San Diego,10000+ Employees,College / University,Colleges & Universities,Education,Unknown,California,CA,61.0,4.3,1,0,118,0,0,0,0,1,0,140000.0
Data Scientist,Unknown,Fulgent Genetics,51 to 200 Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,Temple City,CA,37.0,3.7,1,0,130,0,0,0,0,0,0,140000.0
Data Scientist,Unknown,"Inanovate, Inc",Unknown,Unknown,Unknown,Unknown,Unknown,Sioux Falls,SD,37.0,4.0,1,0,113,0,0,0,0,0,0,140000.0
Data Engineer,Unknown,Savant,201 to 500 Employees,Company - Private,Consumer Products Manufacturing,Manufacturing,Unknown,Cleveland,OH,16.0,3.2,1,0,142,0,0,0,0,0,0,140000.0
Data Engineer,Unknown,Deloitte,10000+ Employees,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD),Rosslyn,VA,171.0,3.9,1,0,148,0,1,0,1,1,1,140000.0
Data Scientist,Mid,Cottage Health,1001 to 5000 Employees,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),Goleta,CA,133.0,4.5,1,0,113,0,0,0,0,0,0,140000.0
Data Scientist,Mid,Cottage Health,Unknown,Unknown,Unknown,Unknown,Unknown,Goleta,CA,37.0,4.5,1,0,113,0,0,0,0,0,0,140000.0
Data Scientist,Junior,Thermo Fisher - America,10000+ Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Carlsbad,CA,119.0,3.8,1,0,153,0,0,0,0,0,0,140000.0
Data Engineer,Unknown,Visiting Nurse Association of Central Jersey,1001 to 5000 Employees,Nonprofit Organization,Social Assistance,Non-Profit,$50 to $100 million (USD),Holmdel,NJ,109.0,3.0,1,0,286,0,0,0,1,0,0,140000.0
Data Analyist,Unknown,Progress Rail Services Corp.,5001 to 10000 Employees,Subsidiary or Business Segment,Rail,Transportation & Logistics,$2 to $5 billion (USD),La Grange,IL,38.0,3.5,1,0,193,0,0,0,0,0,0,140000.0
Data Scientist,Senior,"Miltenyi Biomedicine, Inc.",Unknown,Unknown,Unknown,Unknown,Unknown,Cambridge,MA,37.0,4.0,1,0,139,0,0,0,0,1,0,140000.0
Data Analyist,Unknown,GreatAmerica Financial Services,Unknown,Unknown,Unknown,Unknown,Unknown,Cedar Rapids,IA,37.0,4.3,1,0,137,0,0,0,0,0,0,140000.0
Data Engineer,Unknown,AmerisourceBergen,10000+ Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Boise,ID,20.0,3.5,1,0,168,0,0,0,0,0,0,140000.0
Data Scientist,Junior,Thermo Fisher Scientific,10000+ Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Carlsbad,CA,119.0,3.8,1,0,257,0,0,0,0,0,0,140000.0
Data Scientist,Senior,PPD,10000+ Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),Middleton,WI,36.0,4.0,1,0,115,0,0,0,0,0,0,140000.0
Manager,Executive,Pathways,5001 to 10000 Employees,Company - Private,Health Care Services & Hospitals,Health Care,Unknown,Richardson,TX,37.0,3.1,1,0,178,0,0,0,0,0,0,140000.0
Data Scientist,Unknown,LIFELINE CELL TECHNOLOGY,Unknown,Unknown,Unknown,Unknown,Unknown,Oceanside,CA,37.0,4.0,1,0,98,0,0,0,0,0,0,140000.0
Data Scientist,Senior,Memorial Sloan-Kettering Cancer Center,10000+ Employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),New York,NY,137.0,4.0,1,0,229,0,0,0,0,1,1,140000.0
Data Engineer,Senior,Deloitte,10000+ Employees,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD),Washington,DC,171.0,3.9,1,0,180,0,0,0,0,0,0,140000.0
Data Scientist,Unknown,Adventist Health,10000+ Employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown,Tehachapi,CA,48.0,3.7,1,0,132,0,0,0,0,0,0,140000.0
Data Engineer,Executive,Clarus Commerce,51 to 200 Employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,Connecticut,CT,20.0,4.4,1,0,446,0,0,0,0,1,0,140000.0
Data Engineer,Unknown,IntraFi Network,201 to 500 Employees,Company - Private,Financial Transaction Processing,Finance,Unknown,Arlington,VA,19.0,4.9,1,0,171,0,0,0,0,0,0,140000.0
Data Scientist,Unknown,"Entegris, Inc.",1001 to 5000 Employees,Company - Public,Miscellaneous Manufacturing,Manufacturing,$1 to $2 billion (USD),Danbury,CT,55.0,3.8,1,0,151,0,0,0,0,0,0,140000.0
Data Scientist,Senior,Ab Studio Inc.,Unknown,Unknown,Unknown,Unknown,Unknown,Hayward,CA,37.0,4.0,1,0,78,0,0,0,0,0,0,140000.0
Data Scientist,Senior,"Entegris, Inc.",1001 to 5000 Employees,Company - Public,Miscellaneous Manufacturing,Manufacturing,$1 to $2 billion (USD),Ambler,PA,55.0,3.8,1,0,151,0,0,0,0,0,0,140000.0
Data Scientist,Senior,Just - Evotec Biologics,1 to 50 Employees,Company - Private,Unknown,Unknown,$1 to $5 million (USD),Redmond,WA,37.0,4.8,1,0,127,0,0,0,0,0,0,140000.0
