vaga_simplificada,senioridade,nome_empresa,tamanho,tipo_propriedade,industria,setor,receita,cidade,estado,idade_empresa,nota,fg_glassdor_est,fg_por_hora,descricao_qtd_palavras,estatistica,programacao,etl,saas,ferramentas_bi,ml_ai,salario_medio
Data Scientist,Unknown,Verizon,10000+ Employees,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),Ashburn,VA,21.0,3.9,1,0,133,0,0,0,0,0,0,114500.0
Data Scientist,Unknown,QinetiQ Inc.,1001 to 5000 Employees,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),Lorton,VA,20.0,3.8,1,0,150,0,0,0,0,0,1,103000.0
Data Scientist,Unknown,NCCI,501 to 1000 Employees,Company - Private,Insurance Carriers,Insurance,$50 to $100 million (USD),Boca Raton,FL,98.0,4.7,1,0,124,0,0,0,0,0,0,103000.0
Data Scientist,Unknown,Avery Dennison,10000+ Employees,Company - Public,Miscellaneous Manufacturing,Manufacturing,$5 to $10 billion (USD),Mill Hall,PA,86.0,3.9,1,0,193,0,0,0,0,1,0,101500.0
Data Scientist,Mid,SullivanCotter,201 to 500 Employees,Company - Private,Consulting,Business Services,Unknown,Minneapolis,MN,29.0,4.0,1,0,142,1,0,0,0,0,1,104000.0
Unknown,Unknown,Wolverine Trading,201 to 500 Employees,Company - Private,Investment Banking & Asset Management,Finance,$10 to $25 million (USD),Chicago,IL,27.0,4.2,1,0,109,0,0,0,0,0,0,116000.0
Data Engineer,Unknown,"General Dynamics Mission Systems, Inc",10000+ Employees,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),Chantilly,VA,69.0,3.9,1,0,235,1,0,0,0,0,1,100000.0
Data Scientist,Senior,"Karus, Inc.",Unknown,Unknown,Unknown,Unknown,Unknown,Boise,ID,28.0,3.9,1,0,84,0,0,0,0,0,1,95000.0
Data Scientist,Senior,Soaren Management,51 to 200 Employees,Company - Private,Lending,Finance,Unknown,Scottsdale,AZ,6.0,4.4,1,0,185,1,0,0,0,1,1,105500.0
Data Scientist,Senior,SullivanCotter,201 to 500 Employees,Company - Private,Consulting,Business Services,Unknown,Minneapolis,MN,29.0,4.0,1,0,144,1,0,0,0,0,1,118000.0
Data Scientist,Unknown,Vericast,10000+ Employees,Company - Private,Unknown,Unknown,Unknown,Morrisville,NC,28.0,3.7,1,0,93,0,0,0,0,0,0,112500.0
Data Scientist,Senior,LGC Limited,1001 to 5000 Employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,Petaluma,CA,179.0,3.6,1,0,133,0,0,0,0,0,0,122500.0
Data Engineer,Unknown,Embrace Home Loans,501 to 1000 Employees,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),Middletown,RI,38.0,4.1,1,0,95,0,0,0,0,0,0,91000.0
Data Scientist,Mid,The Church of Jesus Christ of Latter-day Saints,10000+ Employees,Nonprofit Organization,Religious Organizations,Non-Profit,Unknown,Salt Lake City,UT,28.0,4.4,1,0,122,0,0,0,0,0,1,94500.0
Data Engineer,Unknown,Vibrent Health,51 to 200 Employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,Fairfax,VA,13.0,3.2,1,0,124,0,0,0,0,0,0,116500.0
Data Scientist,Unknown,Elder Research Inc,51 to 200 Employees,Company - Private,Consulting,Business Services,$10 to $25 million (USD),Fort Meade,MD,26.0,4.3,1,0,140,1,0,0,0,0,0,99500.0
Data Scientist,Unknown,"Alkahest, Inc.",Unknown,Unknown,Unknown,Unknown,Unknown,San Carlos,CA,28.0,3.9,1,0,178,0,0,0,0,1,0,122500.0
Data Engineer,Unknown,"Brokers International, Ltd.",51 to 200 Employees,Company - Private,Investment Banking & Asset Management,Finance,$25 to $50 million (USD),Urbandale,IA,66.0,3.5,1,0,148,0,0,0,0,0,0,90500.0
Data Scientist,Senior,IsoPlexis,1 to 50 Employees,Company - Private,Unknown,Unknown,Less than $1 million (USD),Branford,CT,28.0,3.6,1,0,186,0,0,0,0,0,0,122000.0
Data Scientist,Unknown,Ascension,10000+ Employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$10+ billion (USD),Austin,TX,22.0,3.5,1,0,130,0,0,0,0,0,0,78000.0
Data Scientist,Unknown,"Landos Biopharma, Inc.",1 to 50 Employees,Company - Public,Unknown,Unknown,Unknown,Blacksburg,VA,28.0,3.9,1,0,168,0,0,0,0,0,0,81500.0
Data Scientist,Senior,Thermo Fisher - America,10000+ Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Pittsburgh,PA,119.0,3.8,1,0,148,1,0,0,0,0,0,86500.0
Data Scientist,Unknown,TriLink BioTechnologies,51 to 200 Employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$5 to $10 million (USD),San Diego,CA,28.0,3.0,1,0,153,0,0,0,0,0,0,91000.0
Data Analyist,Mid,First Tech Federal Credit Union,1001 to 5000 Employees,Company - Private,Banks & Credit Unions,Finance,$100 to $500 million (USD),Hillsboro,OR,69.0,3.6,1,0,102,0,0,0,0,0,0,79500.0
Data Scientist,Unknown,Stealth Mode Startup Company,Unknown,Company - Public,Unknown,Unknown,Unknown,San Jose,CA,28.0,3.9,1,0,194,0,0,0,0,0,0,140500.0
Data Scientist,Junior,Flow Contract Site Laboratory,Unknown,Unknown,Unknown,Unknown,Unknown,Seattle,WA,28.0,3.9,1,0,83,0,0,0,0,0,0,112000.0
Data Analyist,Mid,NewRez,5001 to 10000 Employees,Company - Public,Lending,Finance,$500 million to $1 billion (USD),Fort Washington,PA,13.0,3.6,1,0,43,0,0,0,0,0,0,84000.0
Data Scientist,Senior,Dealerware,51 to 200 Employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,Austin,TX,5.0,3.9,1,0,244,1,0,0,0,0,1,100000.0
Data Scientist,Unknown,"Akvelon, Inc.",501 to 1000 Employees,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),Redmond,WA,21.0,4.1,1,0,140,1,1,1,0,0,1,112000.0
Data Scientist,Unknown,Hilton Grand Vacations,5001 to 10000 Employees,Company - Public,"Hotels, Motels, & Resorts",Travel & Tourism,Unknown,Orlando,FL,29.0,3.9,1,0,95,0,1,1,0,1,0,112000.0
Data Engineer,Senior,Mozart Therapeutics,Unknown,Unknown,Unknown,Unknown,Unknown,Seattle,WA,28.0,3.9,1,0,140,0,0,0,0,0,0,112000.0
Data Scientist,Unknown,Applied Information Sciences,201 to 500 Employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),Chevy Chase,MD,39.0,4.4,1,0,108,0,0,1,1,0,1,112000.0
Data Scientist,Senior,Thermo Fisher Scientific,10000+ Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Alachua,FL,119.0,3.8,1,0,82,0,0,0,0,0,0,112000.0
Manager,Executive,Deloitte,10000+ Employees,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD),Arlington,VA,171.0,3.9,1,0,195,1,0,0,0,0,1,112000.0
Data Scientist,Junior,"FourthWall Media, Inc.",Unknown,Unknown,Unknown,Unknown,Unknown,Sterling,VA,28.0,3.9,1,0,136,0,0,0,0,0,0,112000.0
Data Scientist,Mid,Thermo Fisher Scientific,10000+ Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),San Diego,CA,119.0,3.8,1,0,182,0,0,0,0,0,0,112000.0
Data Scientist,Senior,Thermo Fisher Scientific,10000+ Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Pittsburgh,PA,119.0,3.8,1,0,167,1,0,0,0,0,0,112000.0
Data Scientist,Senior,Peraton,10000+ Employees,Company - Private,IT Services,Information Technology,$5 to $10 billion (USD),Chantilly,VA,4.0,3.9,1,0,157,0,0,0,0,0,0,112000.0
Data Scientist,Senior,Stealth Mode Startup Company,Unknown,Company - Public,Unknown,Unknown,Unknown,San Jose,CA,28.0,3.9,1,0,199,0,0,0,0,0,0,112000.0
